"","min_rows","mtries","ntrees","model_ids","r2"
"1","2.0","10","100","rf.grid_model_58","0.5783067294169744"
"2","2.0","10","150","rf.grid_model_41","0.5770150863023423"
"3","2.0","5","50","rf.grid_model_36","0.5765902863378931"
"4","2.0","7","100","rf.grid_model_47","0.5751979607546034"
"5","2.0","10","50","rf.grid_model_102","0.5750944180296029"
"6","2.0","7","150","rf.grid_model_92","0.5749080963319282"
"7","2.0","8","150","rf.grid_model_93","0.5746128301684723"
"8","2.0","5","150","rf.grid_model_60","0.574221270981432"
"9","2.0","5","100","rf.grid_model_54","0.5734646069429925"
"10","2.0","6","150","rf.grid_model_32","0.572911687398765"
"11","2.0","8","100","rf.grid_model_97","0.5728759900922098"
"12","3.0","10","100","rf.grid_model_48","0.5722099420455367"
"13","2.0","7","50","rf.grid_model_15","0.572185234414349"
"14","3.0","7","100","rf.grid_model_61","0.5687279085904436"
"15","2.0","6","100","rf.grid_model_56","0.5685430970416023"
"16","3.0","10","150","rf.grid_model_95","0.5684602035465744"
"17","2.0","4","150","rf.grid_model_10","0.5683950956664185"
"18","2.0","9","150","rf.grid_model_51","0.5680779498403801"
"19","2.0","4","100","rf.grid_model_65","0.5675303376377523"
"20","3.0","8","150","rf.grid_model_82","0.5663253008259801"
"21","3.0","7","150","rf.grid_model_3","0.566251563771392"
"22","3.0","7","50","rf.grid_model_18","0.5660905006474825"
"23","3.0","8","100","rf.grid_model_44","0.5660555910945093"
"24","2.0","3","150","rf.grid_model_106","0.5657162493240219"
"25","2.0","3","100","rf.grid_model_11","0.565643760070502"
"26","2.0","9","100","rf.grid_model_91","0.5656077969640771"
"27","2.0","8","50","rf.grid_model_73","0.5654417735790247"
"28","2.0","4","50","rf.grid_model_78","0.5654029966347731"
"29","3.0","6","150","rf.grid_model_86","0.5642491080842982"
"30","3.0","10","50","rf.grid_model_96","0.5631478444913718"
"31","3.0","5","100","rf.grid_model_98","0.5631478060435506"
"32","3.0","5","150","rf.grid_model_42","0.5623636495257318"
"33","3.0","6","100","rf.grid_model_38","0.562274151647939"
"34","4.0","10","100","rf.grid_model_20","0.5619684141955954"
"35","4.0","10","150","rf.grid_model_35","0.5618531658507588"
"36","2.0","9","50","rf.grid_model_87","0.5617951576572685"
"37","2.0","6","50","rf.grid_model_19","0.5617797509297122"
"38","3.0","9","150","rf.grid_model_108","0.5612190340687162"
"39","3.0","5","50","rf.grid_model_99","0.5609851947122506"
"40","4.0","7","100","rf.grid_model_5","0.5597038552854621"
"41","3.0","9","100","rf.grid_model_30","0.5595714203577489"
"42","3.0","4","100","rf.grid_model_104","0.5594364313758644"
"43","2.0","3","50","rf.grid_model_64","0.5593903066525394"
"44","3.0","9","50","rf.grid_model_28","0.5590896212343828"
"45","4.0","9","100","rf.grid_model_59","0.5589234598284816"
"46","4.0","8","150","rf.grid_model_52","0.5587860757358609"
"47","5.0","10","100","rf.grid_model_101","0.558572857520665"
"48","4.0","9","150","rf.grid_model_85","0.5582902600881073"
"49","3.0","8","50","rf.grid_model_107","0.5582392867799572"
"50","4.0","7","150","rf.grid_model_57","0.5582235847181096"
"51","3.0","4","150","rf.grid_model_37","0.557743737048237"
"52","4.0","8","100","rf.grid_model_4","0.5575932843936173"
"53","5.0","10","150","rf.grid_model_72","0.5571371538117789"
"54","5.0","9","100","rf.grid_model_46","0.5570960184701675"
"55","5.0","9","150","rf.grid_model_24","0.5563163171335632"
"56","3.0","6","50","rf.grid_model_8","0.5561404668444416"
"57","4.0","6","150","rf.grid_model_31","0.5559503423904091"
"58","4.0","10","50","rf.grid_model_21","0.5556531332981443"
"59","4.0","6","100","rf.grid_model_12","0.5555071392595403"
"60","5.0","7","100","rf.grid_model_33","0.5554152222482827"
"61","4.0","7","50","rf.grid_model_81","0.55520339197031"
"62","3.0","3","100","rf.grid_model_83","0.5548568015033885"
"63","4.0","9","50","rf.grid_model_68","0.5547782660115947"
"64","5.0","10","50","rf.grid_model_105","0.5546737879924245"
