"","min_rows","mtries","ntrees","model_ids","r2"
"1","2.0","8","150","rf.grid_model_93","0.4772560607328682"
"2","2.0","7","50","rf.grid_model_15","0.47392184826050876"
"3","2.0","9","50","rf.grid_model_87","0.4710939379554312"
"4","2.0","8","100","rf.grid_model_97","0.4702472506675177"
"5","2.0","7","100","rf.grid_model_47","0.46865748466436474"
"6","2.0","7","150","rf.grid_model_92","0.4648492818534641"
"7","2.0","8","50","rf.grid_model_73","0.46373429458416304"
"8","2.0","9","150","rf.grid_model_51","0.4621199991988484"
"9","3.0","8","150","rf.grid_model_82","0.4611140264293755"
"10","2.0","5","50","rf.grid_model_36","0.46085866370516204"
"11","2.0","6","150","rf.grid_model_32","0.46055791446024574"
"12","2.0","5","100","rf.grid_model_54","0.46044911789936216"
"13","2.0","5","150","rf.grid_model_60","0.46036202795390235"
"14","2.0","4","150","rf.grid_model_10","0.46006312013879946"
"15","3.0","7","50","rf.grid_model_18","0.4599473475647843"
"16","2.0","3","150","rf.grid_model_106","0.4589569576219502"
"17","2.0","4","100","rf.grid_model_65","0.45864943660968516"
"18","2.0","9","100","rf.grid_model_91","0.45860892301016787"
"19","2.0","3","100","rf.grid_model_11","0.4584670515599838"
"20","2.0","3","50","rf.grid_model_64","0.45843560464961564"
"21","3.0","8","100","rf.grid_model_44","0.457765601647084"
"22","2.0","6","100","rf.grid_model_56","0.45771188385122175"
"23","3.0","7","100","rf.grid_model_61","0.4570924653155892"
"24","2.0","10","150","rf.grid_model_41","0.4559862368875933"
"25","3.0","9","50","rf.grid_model_28","0.4529277385966234"
"26","3.0","9","150","rf.grid_model_108","0.4521476562347365"
"27","3.0","7","150","rf.grid_model_3","0.4519235785332666"
"28","3.0","8","50","rf.grid_model_107","0.45103297984978274"
"29","2.0","6","50","rf.grid_model_19","0.450792447730875"
"30","4.0","8","150","rf.grid_model_52","0.45057599430866313"
"31","3.0","6","50","rf.grid_model_8","0.44981747748607726"
"32","3.0","6","150","rf.grid_model_86","0.44924203617342584"
"33","2.0","4","50","rf.grid_model_78","0.4489506607895777"
"34","3.0","9","100","rf.grid_model_30","0.44842025635426197"
"35","3.0","6","100","rf.grid_model_38","0.44791591455066837"
"36","3.0","5","150","rf.grid_model_42","0.44772343073068"
"37","2.0","2","150","rf.grid_model_79","0.44645373957625634"
"38","2.0","10","100","rf.grid_model_58","0.44548595257824397"
"39","2.0","2","100","rf.grid_model_49","0.4452307061015146"
"40","3.0","3","100","rf.grid_model_83","0.4450522255380692"
"41","3.0","4","150","rf.grid_model_37","0.44434063260841805"
"42","3.0","5","100","rf.grid_model_98","0.4440715182187125"
"43","4.0","9","50","rf.grid_model_68","0.44316342910651485"
"44","3.0","4","100","rf.grid_model_104","0.4428526008991869"
"45","2.0","2","50","rf.grid_model_26","0.44269889076409374"
"46","3.0","3","150","rf.grid_model_17","0.44115926054335464"
"47","3.0","3","50","rf.grid_model_45","0.44092075124338914"
"48","3.0","5","50","rf.grid_model_99","0.4395636246219522"
"49","4.0","8","100","rf.grid_model_4","0.43939682034695604"
"50","4.0","9","150","rf.grid_model_85","0.4391758156517558"
"51","3.0","10","150","rf.grid_model_95","0.4391308804813798"
"52","4.0","6","150","rf.grid_model_31","0.43744004549852933"
"53","4.0","7","100","rf.grid_model_5","0.43695121010215987"
"54","4.0","6","100","rf.grid_model_12","0.4360363183040572"
"55","4.0","7","150","rf.grid_model_57","0.435788625330225"
"56","2.0","10","50","rf.grid_model_102","0.4353704521630234"
"57","4.0","9","100","rf.grid_model_59","0.4353689354727167"
"58","5.0","7","50","rf.grid_model_103","0.4352967916348286"
"59","4.0","7","50","rf.grid_model_81","0.43528932595773195"
"60","5.0","8","150","rf.grid_model_14","0.4348240816938437"
"61","3.0","4","50","rf.grid_model_40","0.4329389332358521"
"62","5.0","9","50","rf.grid_model_53","0.4322518576837566"
"63","4.0","4","100","rf.grid_model_6","0.43215853133997917"
"64","4.0","4","50","rf.grid_model_74","0.43074668670720984"
"65","4.0","6","50","rf.grid_model_88","0.43031468926359706"
"66","3.0","10","100","rf.grid_model_48","0.42997932022219876"
"67","4.0","4","150","rf.grid_model_66","0.42908177354214616"
"68","5.0","7","100","rf.grid_model_33","0.4286425455392582"
"69","5.0","9","150","rf.grid_model_24","0.42824591532665635"
"70","4.0","8","50","rf.grid_model_67","0.42806816969317785"
"71","4.0","3","100","rf.grid_model_71","0.4275610431990956"
"72","4.0","10","150","rf.grid_model_35","0.4274775533603069"
"73","4.0","3","150","rf.grid_model_34","0.42745690210662557"
"74","5.0","7","150","rf.grid_model_63","0.4272854013685453"
"75","4.0","5","150","rf.grid_model_76","0.42660167242725233"
"76","5.0","9","100","rf.grid_model_46","0.42594894815886764"
"77","5.0","8","100","rf.grid_model_1","0.4252263363631008"
"78","4.0","5","100","rf.grid_model_50","0.42395336085404867"
"79","4.0","10","100","rf.grid_model_20","0.4226432012714345"
"80","4.0","3","50","rf.grid_model_75","0.42229370383971243"
"81","5.0","6","150","rf.grid_model_23","0.4218045503211778"
"82","4.0","5","50","rf.grid_model_25","0.4216345259600728"
"83","3.0","2","150","rf.grid_model_80","0.421608521456606"
"84","5.0","6","100","rf.grid_model_89","0.42073600974804104"
"85","3.0","2","100","rf.grid_model_9","0.41947498095724467"
"86","5.0","5","150","rf.grid_model_2","0.4192721111366925"
"87","3.0","10","50","rf.grid_model_96","0.4182758576225972"
"88","3.0","2","50","rf.grid_model_94","0.4182194941940365"
"89","5.0","5","100","rf.grid_model_29","0.41732467019159514"
"90","5.0","6","50","rf.grid_model_70","0.41717676101086454"
"91","5.0","5","50","rf.grid_model_90","0.41715191027168896"
"92","5.0","8","50","rf.grid_model_39","0.4169208043653513"
"93","5.0","10","150","rf.grid_model_72","0.41625334257271107"
"94","5.0","3","150","rf.grid_model_100","0.4148268555643403"
"95","5.0","4","50","rf.grid_model_13","0.41297871704105105"
"96","5.0","4","150","rf.grid_model_62","0.41261971048451584"
"97","5.0","3","50","rf.grid_model_77","0.41179246281085435"
"98","5.0","3","100","rf.grid_model_7","0.41173350982714574"
"99","5.0","10","100","rf.grid_model_101","0.4116047822385487"
"100","4.0","10","50","rf.grid_model_21","0.4113396341015574"
"101","5.0","4","100","rf.grid_model_43","0.41131827356527717"
"102","4.0","2","150","rf.grid_model_22","0.40519487371844687"
"103","4.0","2","100","rf.grid_model_69","0.40443126905288285"
"104","5.0","10","50","rf.grid_model_105","0.3987730631875289"
"105","5.0","2","100","rf.grid_model_55","0.393581866688536"
"106","5.0","2","150","rf.grid_model_27","0.3934990836388559"
"107","4.0","2","50","rf.grid_model_16","0.39274033686225973"
"108","5.0","2","50","rf.grid_model_84","0.38111380310265563"
