Items,Coefficients,Standard error,P value (if possible),SAC p value,veg.type
Annual Mean Temperature,-0.142,0.036,0.0106,ò0.0722,Forest
Aridity Index,0.0287,0.037,0.378,ò0.0726,Forest
C:N Ratio,0.022,0.027,0.382,ò0.0725,Forest
NDVI,-0.094,0.034,0.063,ò0.0724,Forest
Soil Depth to Bedrock,0.152,0.026,0,ò0.0730,Forest
Soil Moisture,-0.106,0.035,0.048,ò0.0727,Forest
Soil Sand Content,0.154,0.025,0,ò0.0728,Forest
Tree Density,-0.031,0.027,0.334,ò0.0723,Forest
Annual Mean Temperature,-0.095,0.0445,0.033,0.359,Grassland
Aridity Index,-0.084,0.048,0.081,0.3586,Grassland
C:N Ratio,-0.169,0.0429,0,0.3586,Grassland
NDVI,-0.0832,0.04687,0.0764,0.3586,Grassland
Soil Depth to Bedrock,0.0763,0.0402,0.0583,0.3586,Grassland
Soil Moisture,-0.128,0.0473,0.0071,0.3586,Grassland
Soil Sand Content,0.0473,0.0387,0.223,0.3586,Grassland
Tree Density,-0.058,0.0393,0.142,0.3586,Grassland
Annual Mean Temperature,-0.293,0.071,0,0.1348,Shrubland
Aridity Index,-0.122,0.074,0.101,0.1348,Shrubland
C:N Ratio,0.133,0.0603,0.028,0.1348,Shrubland
NDVI,0.042,0.0727,0.526,0.1348,Shrubland
Soil Depth to Bedrock,-0.158,0.0549,0.004,0.1348,Shrubland
Soil Moisture,-0.0138,0.0779,0.859,0.1348,Shrubland
Soil Sand Content,0.029,0.055,0.592,0.1348,Shrubland
Tree Density,0.125,0.06,0.039,0.1348,Shrubland
