"","system.index","index","latitude","longitude","ratio",".geo"
"1","00000000000000000b2b",2637,50,140,0.265425532,"{""type"":""Point"",""coordinates"":[140.00000123777454,49.99999821251181]}"
"2","000000000000000012af",4784,50,140,0.174409863,"{""type"":""Point"",""coordinates"":[140.00000123777454,49.99999821251181]}"
"3","00000000000000001221",4642,52,114,0.13974359,"{""type"":""Point"",""coordinates"":[113.99999967017182,51.999998676104404]}"
"4","00000000000000001222",4643,52,114,0.655172414,"{""type"":""Point"",""coordinates"":[113.99999967017182,51.999998676104404]}"
"5","00000000000000001223",4644,52,114,0.460759494,"{""type"":""Point"",""coordinates"":[113.99999967017182,51.999998676104404]}"
"6","00000000000000001420",5153,54,109.5,3.74479889,"{""type"":""Point"",""coordinates"":[109.49999974186373,53.999999139696996]}"
"7","00000000000000001421",5154,54,109.5,0.948905109,"{""type"":""Point"",""coordinates"":[109.49999974186373,53.999999139696996]}"
"8","00000000000000001422",5155,54,109.5,0.874635569,"{""type"":""Point"",""coordinates"":[109.49999974186373,53.999999139696996]}"
"9","00000000000000001423",5156,54,109.5,1.351538996,"{""type"":""Point"",""coordinates"":[109.49999974186373,53.999999139696996]}"
"10","000000000000000007fe",1824,54,95,0.177407848,"{""type"":""Point"",""coordinates"":[95.00000195469372,53.999999139696996]}"
"11","000000000000000007ff",1825,54,95,0.141578638,"{""type"":""Point"",""coordinates"":[95.00000195469372,53.999999139696996]}"
"12","00000000000000000800",1826,54,95,0.183532988,"{""type"":""Point"",""coordinates"":[95.00000195469372,53.999999139696996]}"
"13","00000000000000000801",1827,54,95,0.194921447,"{""type"":""Point"",""coordinates"":[95.00000195469372,53.999999139696996]}"
"14","00000000000000000802",1828,54,95,0.192344997,"{""type"":""Point"",""coordinates"":[95.00000195469372,53.999999139696996]}"
"15","000000000000000012bf",4800,54,95,0.183166548,"{""type"":""Point"",""coordinates"":[95.00000195469372,53.999999139696996]}"
"16","00000000000000000b4a",2668,56,160,0.9048583,"{""type"":""Point"",""coordinates"":[160.00000141459947,55.99999960328961]}"
"17","0000000000000000121f",4640,56,160,0.223138366,"{""type"":""Point"",""coordinates"":[160.00000141459947,55.99999960328961]}"
"18","00000000000000001483",5252,56,160,0.116722249,"{""type"":""Point"",""coordinates"":[160.00000141459947,55.99999960328961]}"
"19","00000000000000000b52",2676,56,101,0.274637681,"{""type"":""Point"",""coordinates"":[100.99999888637045,55.99999960328961]}"
"20","000000000000000008ba",2012,58,69,0.252928807,"{""type"":""Point"",""coordinates"":[69.00000038709096,58.0000000668822]}"
"21","00000000000000000b41",2659,60,151,0.310416667,"{""type"":""Point"",""coordinates"":[151.0000015579833,60.0000005304748]}"
"22","00000000000000000b42",2660,60,151,0.334494774,"{""type"":""Point"",""coordinates"":[151.0000015579833,60.0000005304748]}"
"23","00000000000000000977",2201,60,38,0.211055276,"{""type"":""Point"",""coordinates"":[37.999999890057275,60.0000005304748]}"
"24","00000000000000000978",2202,60,38,0.40052588,"{""type"":""Point"",""coordinates"":[37.999999890057275,60.0000005304748]}"
"25","00000000000000000979",2203,60,38,0.362837223,"{""type"":""Point"",""coordinates"":[37.999999890057275,60.0000005304748]}"
"26","0000000000000000097a",2204,60,38,0.381807163,"{""type"":""Point"",""coordinates"":[37.999999890057275,60.0000005304748]}"
"27","0000000000000000097b",2205,60,38,0.369666077,"{""type"":""Point"",""coordinates"":[37.999999890057275,60.0000005304748]}"
"28","0000000000000000097c",2206,60,38,0.371236201,"{""type"":""Point"",""coordinates"":[37.999999890057275,60.0000005304748]}"
"29","0000000000000000128a",4747,60,59,0.404388715,"{""type"":""Point"",""coordinates"":[58.99999806912798,60.0000005304748]}"
"30","0000000000000000128b",4748,60,59,0.330350998,"{""type"":""Point"",""coordinates"":[58.99999806912798,60.0000005304748]}"
"31","0000000000000000128c",4749,60,59,0.257689111,"{""type"":""Point"",""coordinates"":[58.99999806912798,60.0000005304748]}"
"32","0000000000000000186a",6251,60,16,0.091190027,"{""type"":""Point"",""coordinates"":[15.999999249639739,60.0000005304748]}"
"33","0000000000000000186b",6252,60,16,0.085112379,"{""type"":""Point"",""coordinates"":[15.999999249639739,60.0000005304748]}"
"34","0000000000000000186c",6253,60,16,0.093802817,"{""type"":""Point"",""coordinates"":[15.999999249639739,60.0000005304748]}"
"35","0000000000000000186d",6254,60,16,0.072988968,"{""type"":""Point"",""coordinates"":[15.999999249639739,60.0000005304748]}"
"36","0000000000000000186e",6255,60,16,0.112278709,"{""type"":""Point"",""coordinates"":[15.999999249639739,60.0000005304748]}"
"37","0000000000000000186f",6256,60,16,0.176424759,"{""type"":""Point"",""coordinates"":[15.999999249639739,60.0000005304748]}"
"38","00000000000000001870",6257,60,16,0.288588451,"{""type"":""Point"",""coordinates"":[15.999999249639739,60.0000005304748]}"
"39","00000000000000001871",6258,60,16,0.159248769,"{""type"":""Point"",""coordinates"":[15.999999249639739,60.0000005304748]}"
"40","00000000000000001872",6259,60,16,0.086455117,"{""type"":""Point"",""coordinates"":[15.999999249639739,60.0000005304748]}"
"41","00000000000000001873",6260,60,16,0.071360657,"{""type"":""Point"",""coordinates"":[15.999999249639739,60.0000005304748]}"
"42","00000000000000001874",6261,60,16,0.234037725,"{""type"":""Point"",""coordinates"":[15.999999249639739,60.0000005304748]}"
"43","00000000000000001875",6262,60,16,0.190984696,"{""type"":""Point"",""coordinates"":[15.999999249639739,60.0000005304748]}"
"44","00000000000000001876",6263,60,16,0.290287505,"{""type"":""Point"",""coordinates"":[15.999999249639739,60.0000005304748]}"
"45","00000000000000001877",6264,60,16,0.112783233,"{""type"":""Point"",""coordinates"":[15.999999249639739,60.0000005304748]}"
"46","00000000000000001878",6265,60,16,0.21183922,"{""type"":""Point"",""coordinates"":[15.999999249639739,60.0000005304748]}"
"47","00000000000000001879",6266,60,16,0.081479249,"{""type"":""Point"",""coordinates"":[15.999999249639739,60.0000005304748]}"
"48","0000000000000000187a",6267,60,16,0.026499409,"{""type"":""Point"",""coordinates"":[15.999999249639739,60.0000005304748]}"
"49","0000000000000000187b",6268,60,16,0.072914046,"{""type"":""Point"",""coordinates"":[15.999999249639739,60.0000005304748]}"
"50","0000000000000000187c",6269,60,16,0.063547826,"{""type"":""Point"",""coordinates"":[15.999999249639739,60.0000005304748]}"
"51","0000000000000000187d",6270,60,16,0.093457123,"{""type"":""Point"",""coordinates"":[15.999999249639739,60.0000005304748]}"
"52","0000000000000000187e",6271,60,16,0.163888578,"{""type"":""Point"",""coordinates"":[15.999999249639739,60.0000005304748]}"
"53","0000000000000000187f",6272,60,16,0.070342816,"{""type"":""Point"",""coordinates"":[15.999999249639739,60.0000005304748]}"
"54","00000000000000001880",6273,60,16,0.064130113,"{""type"":""Point"",""coordinates"":[15.999999249639739,60.0000005304748]}"
"55","00000000000000001881",6274,60,16,0.107592732,"{""type"":""Point"",""coordinates"":[15.999999249639739,60.0000005304748]}"
"56","00000000000000001882",6275,60,16,0.099908042,"{""type"":""Point"",""coordinates"":[15.999999249639739,60.0000005304748]}"
"57","00000000000000001883",6276,60,16,0.082612475,"{""type"":""Point"",""coordinates"":[15.999999249639739,60.0000005304748]}"
"58","00000000000000001884",6277,60,16,0.114406855,"{""type"":""Point"",""coordinates"":[15.999999249639739,60.0000005304748]}"
"59","00000000000000001885",6278,60,16,0.114004588,"{""type"":""Point"",""coordinates"":[15.999999249639739,60.0000005304748]}"
"60","00000000000000001886",6279,60,16,0.09683219,"{""type"":""Point"",""coordinates"":[15.999999249639739,60.0000005304748]}"
"61","00000000000000001887",6280,60,16,0.0881753,"{""type"":""Point"",""coordinates"":[15.999999249639739,60.0000005304748]}"
"62","00000000000000001888",6281,60,16,0.079209368,"{""type"":""Point"",""coordinates"":[15.999999249639739,60.0000005304748]}"
"63","00000000000000001889",6282,60,16,0.097179241,"{""type"":""Point"",""coordinates"":[15.999999249639739,60.0000005304748]}"
"64","0000000000000000188a",6283,60,16,0.145201998,"{""type"":""Point"",""coordinates"":[15.999999249639739,60.0000005304748]}"
"65","0000000000000000188b",6284,60,16,0.075810808,"{""type"":""Point"",""coordinates"":[15.999999249639739,60.0000005304748]}"
"66","0000000000000000188c",6285,60,16,0.070065965,"{""type"":""Point"",""coordinates"":[15.999999249639739,60.0000005304748]}"
"67","0000000000000000188d",6286,60,16,0.082019362,"{""type"":""Point"",""coordinates"":[15.999999249639739,60.0000005304748]}"
"68","0000000000000000188e",6287,60,16,0.083138864,"{""type"":""Point"",""coordinates"":[15.999999249639739,60.0000005304748]}"
"69","0000000000000000188f",6288,60,16,0.034694865,"{""type"":""Point"",""coordinates"":[15.999999249639739,60.0000005304748]}"
"70","00000000000000001890",6289,60,16,0.131264413,"{""type"":""Point"",""coordinates"":[15.999999249639739,60.0000005304748]}"
"71","00000000000000001891",6290,60,16,0.103408012,"{""type"":""Point"",""coordinates"":[15.999999249639739,60.0000005304748]}"
"72","00000000000000001892",6291,60,16,0.099782992,"{""type"":""Point"",""coordinates"":[15.999999249639739,60.0000005304748]}"
"73","00000000000000001893",6292,60,16,0.104894066,"{""type"":""Point"",""coordinates"":[15.999999249639739,60.0000005304748]}"
