"","system.index","index","latitude","longitude","ratio",".geo"
"1","00000000000000000b29",2635,44,132,0.162085707,"{""type"":""Point"",""coordinates"":[131.99999938340414,44.00000128083507]}"
"2","00000000000000000b30",2642,44,132,0.161528716,"{""type"":""Point"",""coordinates"":[131.99999938340414,44.00000128083507]}"
"3","00000000000000000b31",2643,44,132,0.169518047,"{""type"":""Point"",""coordinates"":[131.99999938340414,44.00000128083507]}"
"4","00000000000000000b32",2644,44,132,0.172378327,"{""type"":""Point"",""coordinates"":[131.99999938340414,44.00000128083507]}"
"5","00000000000000000b33",2645,44,132,0.163555973,"{""type"":""Point"",""coordinates"":[131.99999938340414,44.00000128083507]}"
"6","00000000000000000b34",2646,44,132,0.174971779,"{""type"":""Point"",""coordinates"":[131.99999938340414,44.00000128083507]}"
"7","00000000000000000b35",2647,44,132,0.174012896,"{""type"":""Point"",""coordinates"":[131.99999938340414,44.00000128083507]}"
"8","00000000000000000b36",2648,44,132,0.178661298,"{""type"":""Point"",""coordinates"":[131.99999938340414,44.00000128083507]}"
"9","00000000000000000b37",2649,44,132,0.170113114,"{""type"":""Point"",""coordinates"":[131.99999938340414,44.00000128083507]}"
"10","00000000000000000b38",2650,44,132,0.170614211,"{""type"":""Point"",""coordinates"":[131.99999938340414,44.00000128083507]}"
"11","00000000000000000b39",2651,44,132,0.16782314,"{""type"":""Point"",""coordinates"":[131.99999938340414,44.00000128083507]}"
"12","00000000000000000b3a",2652,44,132,0.173913043,"{""type"":""Point"",""coordinates"":[131.99999938340414,44.00000128083507]}"
"13","00000000000000000ba8",2762,44,132,0.172184124,"{""type"":""Point"",""coordinates"":[131.99999938340414,44.00000128083507]}"
"14","00000000000000001415",5142,44,132,0.173723783,"{""type"":""Point"",""coordinates"":[131.99999938340414,44.00000128083507]}"
"15","00000000000000002561",13470,-18.25,35.6,0.2445397,"{""type"":""Point"",""coordinates"":[35.60000022556636,-18.249999213793775]}"
"16","00000000000000000d90",3250,46.5,131.8,0.208904704,"{""type"":""Point"",""coordinates"":[131.79999978295498,46.50000074555056]}"
"17","00000000000000000df9",3355,46.5,131.8,0.20784689,"{""type"":""Point"",""coordinates"":[131.79999978295498,46.50000074555056]}"
"18","00000000000000000ea5",3527,46.5,131.8,0.468223874,"{""type"":""Point"",""coordinates"":[131.79999978295498,46.50000074555056]}"
