"","system.index","index","latitude","longitude","ratio",".geo"
"1","0000000000000000210e",8463,-30,116.2,0.246920176,"{""type"":""Point"",""coordinates"":[116.19999973421356,-29.999998035686875]}"
"2","0000000000000000210f",8464,-30,116.2,0.423911193,"{""type"":""Point"",""coordinates"":[116.19999973421356,-29.999998035686875]}"
"3","00000000000000002110",8465,-30,116.2,0.969962409,"{""type"":""Point"",""coordinates"":[116.19999973421356,-29.999998035686875]}"
"4","00000000000000002111",8466,-30,116.2,0.474937422,"{""type"":""Point"",""coordinates"":[116.19999973421356,-29.999998035686875]}"
"5","00000000000000002112",8467,-30,116.2,0.604455599,"{""type"":""Point"",""coordinates"":[116.19999973421356,-29.999998035686875]}"
"6","00000000000000002113",8468,-30,116.2,0.605693192,"{""type"":""Point"",""coordinates"":[116.19999973421356,-29.999998035686875]}"
"7","00000000000000002114",8469,-30,116.2,0.549759668,"{""type"":""Point"",""coordinates"":[116.19999973421356,-29.999998035686875]}"
"8","00000000000000002115",8470,-30,116.2,0.448912113,"{""type"":""Point"",""coordinates"":[116.19999973421356,-29.999998035686875]}"
"9","00000000000000002116",8471,-30,116.2,0.487812154,"{""type"":""Point"",""coordinates"":[116.19999973421356,-29.999998035686875]}"
"10","00000000000000002117",8472,-30,116.2,0.617108795,"{""type"":""Point"",""coordinates"":[116.19999973421356,-29.999998035686875]}"
"11","00000000000000002118",8473,-30,116.2,0.349518462,"{""type"":""Point"",""coordinates"":[116.19999973421356,-29.999998035686875]}"
"12","00000000000000002119",8474,-30,116.2,0.483110117,"{""type"":""Point"",""coordinates"":[116.19999973421356,-29.999998035686875]}"
"13","0000000000000000211a",8475,-30,116.8,0.277588488,"{""type"":""Point"",""coordinates"":[116.79999853556102,-29.999998035686875]}"
"14","0000000000000000211b",8476,-30,116.8,0.841646995,"{""type"":""Point"",""coordinates"":[116.79999853556102,-29.999998035686875]}"
"15","0000000000000000211c",8477,-30,116.8,0.310144062,"{""type"":""Point"",""coordinates"":[116.79999853556102,-29.999998035686875]}"
"16","000000000000000020f5",8438,-32,117.5,0.874910812,"{""type"":""Point"",""coordinates"":[117.5000015962341,-31.99999849927947]}"
"17","0000000000000000211d",8478,-28.5,115.1,0.320828748,"{""type"":""Point"",""coordinates"":[115.10000193174321,-28.500001032318213]}"
"18","0000000000000000211e",8479,-28.5,115.1,0.251074387,"{""type"":""Point"",""coordinates"":[115.10000193174321,-28.500001032318213]}"
"19","0000000000000000211f",8480,-28.5,115.1,0.370613034,"{""type"":""Point"",""coordinates"":[115.10000193174321,-28.500001032318213]}"
"20","000000000000000020fa",8443,-29.5,115.9,0.488299763,"{""type"":""Point"",""coordinates"":[115.90000033353985,-29.49999903456399]}"
"21","0000000000000000200f",8208,-33.25,121.73,1.724324324,"{""type"":""Point"",""coordinates"":[121.72999849665501,-33.250000461187746]}"
"22","00000000000000002010",8209,-33.25,121.73,0.503174603,"{""type"":""Point"",""coordinates"":[121.72999849665501,-33.250000461187746]}"
"23","00000000000000002011",8210,-33.25,121.73,0.40122449,"{""type"":""Point"",""coordinates"":[121.72999849665501,-33.250000461187746]}"
"24","00000000000000002012",8211,-33.25,121.73,0.663366337,"{""type"":""Point"",""coordinates"":[121.72999849665501,-33.250000461187746]}"
"25","00000000000000002013",8212,-33.25,121.73,0.844871795,"{""type"":""Point"",""coordinates"":[121.72999849665501,-33.250000461187746]}"
"26","00000000000000002014",8213,-33.25,121.73,0.839716312,"{""type"":""Point"",""coordinates"":[121.72999849665501,-33.250000461187746]}"
"27","00000000000000002015",8214,-33.25,121.73,0.525280199,"{""type"":""Point"",""coordinates"":[121.72999849665501,-33.250000461187746]}"
