"","system.index","index","latitude","longitude","ratio",".geo"
"1","000000000000000012c1",4802,44,41,0.04519774,"{""type"":""Point"",""coordinates"":[40.99999835589564,44.000001280835065]}"
"2","00000000000000002cd9",11276,46.75,0.3333,0.053030303,"{""type"":""Point"",""coordinates"":[0.33329996734086564,46.750000246112]}"
"3","000000000000000009fc",2334,50,27,0.053403897,"{""type"":""Point"",""coordinates"":[26.9999995698485,49.99999821251181]}"
"4","2313",8980,-42.82,147.51,0.054616071,"{""type"":""Point"",""coordinates"":[147.51000139558388,-42.8199982872638]}"
"5","1438",5177,58,33,0.055475652,"{""type"":""Point"",""coordinates"":[33.00000096062631,58.0000000668822]}"
"6","000000000000000012b0",4785,44,41,0.056216216,"{""type"":""Point"",""coordinates"":[40.99999835589564,44.000001280835065]}"
"7","0000000000000000143a",5179,58,33,0.057067603,"{""type"":""Point"",""coordinates"":[33.00000096062631,58.0000000668822]}"
"8","00000000000000000c90",2994,43.5,27,0.058333333,"{""type"":""Point"",""coordinates"":[26.999999569848498,43.49999782061113]}"
"9","2311",8978,-42.82,147.51,0.06291026,"{""type"":""Point"",""coordinates"":[147.51000139558388,-42.8199982872638]}"
"10","00000000000000001a8c",6797,49.23,15.37,0.063080184,"{""type"":""Point"",""coordinates"":[15.36999961640469,49.230000642602775]}"
"11","2769",9884,35.69,109.1,0.063768116,"{""type"":""Point"",""coordinates"":[109.10000054096541,35.68999826212806]}"
"12","0000000000000000149a",5275,51.33,42,0.065197144,"{""type"":""Point"",""coordinates"":[42.000000817242466,51.330000906419954]}"
"13","000000000000000012c0",4801,44,41,0.068250251,"{""type"":""Point"",""coordinates"":[40.99999835589564,44.000001280835065]}"
"14","00000000000000000c77",2969,50.02,5.08,0.069254308,"{""type"":""Point"",""coordinates"":[5.0799996614308425,50.02000173983756]}"
"15","000000000000000020aa",8363,-42.816667,147.6,0.072418558,"{""type"":""Point"",""coordinates"":[147.59999943214558,-42.81666733877687]}"
