"","system.index","index","latitude","longitude","ratio",".geo"
"1","0000000000000000022e",336,-3,-60,0.299,"{""type"":""Point"",""coordinates"":[-60.0000005304748,-2.9999984658383716]}"
"2","0000000000000000022f",337,-3,-60,0.411,"{""type"":""Point"",""coordinates"":[-60.0000005304748,-2.9999984658383716]}"
"3","230",338,-3,-60,0.277,"{""type"":""Point"",""coordinates"":[-60.0000005304748,-2.9999984658383716]}"
"4","231",339,-3,-60,0.366,"{""type"":""Point"",""coordinates"":[-60.0000005304748,-2.9999984658383716]}"
"5","00000000000000002c08",11067,-3,-60,0.299,"{""type"":""Point"",""coordinates"":[-60.0000005304748,-2.9999984658383716]}"
"6","00000000000000002c09",11068,-3,-60,0.411,"{""type"":""Point"",""coordinates"":[-60.0000005304748,-2.9999984658383716]}"
"7","00000000000000002c0a",11069,-3,-60,0.277,"{""type"":""Point"",""coordinates"":[-60.0000005304748,-2.9999984658383716]}"
"8","00000000000000002c0b",11070,-3,-60,0.366,"{""type"":""Point"",""coordinates"":[-60.0000005304748,-2.9999984658383716]}"
"9","247",361,4,113.8,0.285,"{""type"":""Point"",""coordinates"":[113.80000006972266,4.000000927185199]}"
"10","248",362,4,113.8,0.547,"{""type"":""Point"",""coordinates"":[113.80000006972266,4.000000927185199]}"
"11","249",363,4,113.8,0.374,"{""type"":""Point"",""coordinates"":[113.80000006972266,4.000000927185199]}"
"12","0000000000000000024a",364,4,113.8,0.27,"{""type"":""Point"",""coordinates"":[113.80000006972266,4.000000927185199]}"
"13","0000000000000000024b",365,4,113.8,0.469,"{""type"":""Point"",""coordinates"":[113.80000006972266,4.000000927185199]}"
"14","0000000000000000024c",366,4,113.8,0.288,"{""type"":""Point"",""coordinates"":[113.80000006972266,4.000000927185199]}"
"15","0000000000000000024d",367,4,113.8,0.296,"{""type"":""Point"",""coordinates"":[113.80000006972266,4.000000927185199]}"
"16","0000000000000000024e",368,4,113.8,0.239,"{""type"":""Point"",""coordinates"":[113.80000006972266,4.000000927185199]}"
"17","0000000000000000024f",369,4,113.8,0.317,"{""type"":""Point"",""coordinates"":[113.80000006972266,4.000000927185199]}"
"18","250",370,4,113.8,0.349,"{""type"":""Point"",""coordinates"":[113.80000006972266,4.000000927185199]}"
"19","251",371,4,113.8,0.371,"{""type"":""Point"",""coordinates"":[113.80000006972266,4.000000927185199]}"
"20","252",372,4,113.8,0.356,"{""type"":""Point"",""coordinates"":[113.80000006972266,4.000000927185199]}"
"21","253",373,4,113.8,0.515,"{""type"":""Point"",""coordinates"":[113.80000006972266,4.000000927185199]}"
"22","254",374,4,113.8,0.238,"{""type"":""Point"",""coordinates"":[113.80000006972266,4.000000927185199]}"
"23","255",375,4,113.8,0.293,"{""type"":""Point"",""coordinates"":[113.80000006972266,4.000000927185199]}"
"24","256",376,4,113.8,0.273,"{""type"":""Point"",""coordinates"":[113.80000006972266,4.000000927185199]}"
"25","257",377,4,113.8,0.454,"{""type"":""Point"",""coordinates"":[113.80000006972266,4.000000927185199]}"
"26","258",378,4,113.8,0.217,"{""type"":""Point"",""coordinates"":[113.80000006972266,4.000000927185199]}"
"27","259",379,4,113.8,1.48,"{""type"":""Point"",""coordinates"":[113.80000006972266,4.000000927185199]}"
"28","0000000000000000025a",380,4,113.8,0.296,"{""type"":""Point"",""coordinates"":[113.80000006972266,4.000000927185199]}"
"29","0000000000000000025b",381,4,113.8,1.393,"{""type"":""Point"",""coordinates"":[113.80000006972266,4.000000927185199]}"
"30","0000000000000000025c",382,4,113.8,1.387,"{""type"":""Point"",""coordinates"":[113.80000006972266,4.000000927185199]}"
