"","system.index","index","latitude","longitude","ratio",".geo"
"1","000000000000000002c3",2431,60.83,30.25,2.8466,"{""type"":""Point"",""coordinates"":[30.250001995349372,60.829999764159005]}"
"2","000000000000000002dc",2456,60.83,30.25,2.107930829,"{""type"":""Point"",""coordinates"":[30.250001995349372,60.829999764159005]}"
"3","000000000000000002dd",2457,60.83,30.25,2.804986339,"{""type"":""Point"",""coordinates"":[30.250001995349372,60.829999764159005]}"
"4","000000000000000007a7",1215,53.876,110.374,8.2,"{""type"":""Point"",""coordinates"":[110.37400138474334,53.87600045760278]}"
"5","0000000000000000083d",1365,53.876,110.374,8.166666667,"{""type"":""Point"",""coordinates"":[110.37400138474334,53.87600045760278]}"
"6","00000000000000000258",2324,52.01594804,140.2865718,4.25,"{""type"":""Point"",""coordinates"":[140.28656982607532,52.01594888057257]}"
"7","000000000000000007a8",1216,53.946,110.393,12,"{""type"":""Point"",""coordinates"":[110.39300161433208,53.945999425939775]}"
"8","0000000000000000083e",1366,53.946,110.393,11.96610169,"{""type"":""Point"",""coordinates"":[110.39300161433208,53.945999425939775]}"
"9","000000000000000007a2",1210,53.995,110.122,16,"{""type"":""Point"",""coordinates"":[110.12199974780889,53.9950004874161]}"
"10","00000000000000000838",1360,53.995,110.122,16.03246753,"{""type"":""Point"",""coordinates"":[110.12199974780889,53.9950004874161]}"
"11","000000000000000007a5",1213,53.987,110.279,10.5,"{""type"":""Point"",""coordinates"":[110.27900023679966,53.987000860126216]}"
"12","0000000000000000083b",1363,53.987,110.279,10.46124031,"{""type"":""Point"",""coordinates"":[110.27900023679966,53.987000860126216]}"
"13","00000000000000000257",2323,53.29563671,140.1998097,4.25,"{""type"":""Point"",""coordinates"":[140.19980909687843,53.29563507819364]}"
"14","000000000000000007a6",1214,53.88,110.37,10.3,"{""type"":""Point"",""coordinates"":[110.37000157109838,53.880000271247724]}"
"15","0000000000000000083c",1364,53.88,110.37,10.24307692,"{""type"":""Point"",""coordinates"":[110.37000157109838,53.880000271247724]}"
"16","000000000000000007a3",1211,53.755,110.175,15.1,"{""type"":""Point"",""coordinates"":[110.17500062293016,53.75499829141649]}"
"17","00000000000000000839",1361,53.755,110.175,15.07514451,"{""type"":""Point"",""coordinates"":[110.17500062293016,53.75499829141649]}"
"18","000000000000000007a4",1212,53.748,110.202,28,"{""type"":""Point"",""coordinates"":[110.20200047980879,53.74800196186362]}"
"19","0000000000000000083a",1362,53.748,110.202,28.15384615,"{""type"":""Point"",""coordinates"":[110.20200047980879,53.74800196186362]}"
"20","00000000000000000826",1342,65.5,64,1.56,"{""type"":""Point"",""coordinates"":[64.00000145766,65.49999846102865]}"
"21","0000000000000000022d",2281,52.35991886,117.4135887,3.125,"{""type"":""Point"",""coordinates"":[117.41358867691937,52.35991947673435]}"
"22","0000000000000000022e",2282,52.69993992,111.4843595,3.125,"{""type"":""Point"",""coordinates"":[111.48435767896085,52.69993930936275]}"
"23","0000000000000000023a",2294,50.65745861,104.5694728,3.125,"{""type"":""Point"",""coordinates"":[104.56947360684545,50.65745699003397]}"
"24","00000000000000000925",1597,60.10525984,36.46354941,4,"{""type"":""Point"",""coordinates"":[36.463549735576684,60.10525761084139]}"
"25","0000000000000000093f",1623,57.12918423,78.11198935,4,"{""type"":""Point"",""coordinates"":[78.11199056666443,57.12918222215476]}"
"26","00000000000000000942",1626,57.08614542,79.41230478,4,"{""type"":""Point"",""coordinates"":[79.41230456575873,57.086147437887945]}"
"27","0000000000000000091a",1586,67.27494408,37.50906842,4,"{""type"":""Point"",""coordinates"":[37.50906624137604,67.27494363535278]}"
"28","00000000000000000952",1642,51.88309487,112.3544714,4,"{""type"":""Point"",""coordinates"":[112.35447098572183,51.883094423786225]}"
"29","00000000000000000941",1625,57.74732287,84.22062531,4,"{""type"":""Point"",""coordinates"":[84.22062457730627,57.74732064658765]}"
"30","00000000000000000953",1643,53.74825513,101.4225635,4,"{""type"":""Point"",""coordinates"":[101.42256559770024,53.74825613062368]}"
"31","00000000000000000951",1641,54.2608271,100.2288818,4,"{""type"":""Point"",""coordinates"":[100.228882082097,54.260825337616225]}"
"32","0000000000000000093d",1621,57.4082932,76.52643349,4,"{""type"":""Point"",""coordinates"":[76.52643233228225,57.40829519349415]}"
"33","00000000000000000939",1617,57.14038971,71.30960162,4,"{""type"":""Point"",""coordinates"":[71.30960069592537,57.14038794310207]}"
"34","00000000000000000950",1640,54.6823536,99.32604254,4,"{""type"":""Point"",""coordinates"":[99.32604343270475,54.68235307840055]}"
"35","00000000000000000938",1616,57.17921911,69.57734147,4,"{""type"":""Point"",""coordinates"":[69.57734249598587,57.17921779507547]}"
