"","system.index","index","latitude","longitude","ratio",".geo"
"1","00000000000000000867",1407,38.187834,-122.58279,0.620732464,"{""type"":""Point"",""coordinates"":[-122.58278819582338,38.187835062832626]}"
"2","000000000000000008b2",1482,32.875,-117.052243,0.103819498,"{""type"":""Point"",""coordinates"":[-117.05224096395236,32.874998980795056]}"
"3","000000000000000008b3",1483,32.875,-117.052243,0.598559856,"{""type"":""Point"",""coordinates"":[-117.05224096395236,32.874998980795056]}"
"4","000000000000000008b4",1484,32.875,-117.052243,0.822763932,"{""type"":""Point"",""coordinates"":[-117.05224096395236,32.874998980795056]}"
"5","00000000000000000890",1448,-34.71479,20.119246,1.341880342,"{""type"":""Point"",""coordinates"":[20.119245457196183,-34.71478840263839]}"
"6","00000000000000000891",1449,-34.71479,20.119246,1.479591837,"{""type"":""Point"",""coordinates"":[20.119245457196183,-34.71478840263839]}"
"7","000000000000000008d8",1520,39.23550963,-121.2836963,0.116861972,"{""type"":""Point"",""coordinates"":[-121.2836959904177,39.235509773541835]}"
"8","000000000000000008d9",1521,39.23550963,-121.2836963,0.191238664,"{""type"":""Point"",""coordinates"":[-121.2836959904177,39.235509773541835]}"
"9","000000000000000008da",1522,39.23550963,-121.2836963,0.210762612,"{""type"":""Point"",""coordinates"":[-121.2836959904177,39.235509773541835]}"
"10","000000000000000008c9",1505,-31.782138,117.610853,0.340071213,"{""type"":""Point"",""coordinates"":[117.61085484842279,-31.782140199111268]}"
"11","000000000000000008ca",1506,-31.782138,117.610853,1.753469688,"{""type"":""Point"",""coordinates"":[117.61085484842279,-31.782140199111268]}"
"12","000000000000000008cb",1507,-31.782138,117.610853,0.338557384,"{""type"":""Point"",""coordinates"":[117.61085484842279,-31.782140199111268]}"
"13","00000000000000000847",1375,-32.433,117.394,0.551190476,"{""type"":""Point"",""coordinates"":[117.3939998459916,-32.432999507074335]}"
"14","00000000000000000849",1377,-32.433,117.394,0.541176471,"{""type"":""Point"",""coordinates"":[117.3939998459916,-32.432999507074335]}"
"15","00000000000000000880",1432,37.55665,-122.113311,2.313953488,"{""type"":""Point"",""coordinates"":[-122.11331174141134,37.55664930871736]}"
"16","00000000000000000881",1433,37.55665,-122.113311,5.388888889,"{""type"":""Point"",""coordinates"":[-122.11331174141134,37.55664930871736]}"
"17","0000000000000000087e",1430,37.639851,-122.384705,2.313953488,"{""type"":""Point"",""coordinates"":[-122.38470600882724,37.63985167527361]}"
"18","0000000000000000087f",1431,37.639851,-122.384705,5.388888889,"{""type"":""Point"",""coordinates"":[-122.38470600882724,37.63985167527361]}"
"19","00000000000000000889",1441,36.17138889,5.441111111,0.685294118,"{""type"":""Point"",""coordinates"":[5.44111104204205,36.17138943455491]}"
"20","00000000000000000888",1440,40.702047,0.84423,0.33286119,"{""type"":""Point"",""coordinates"":[0.8442282251457477,40.70204568260545]}"
"21","00000000000000000882",1434,37.218581,-6.976331,3.141509434,"{""type"":""Point"",""coordinates"":[-6.9763304846318785,37.218582562350356]}"
"22","0000000000000000066a",898,-33.95,18.916667,0.2,"{""type"":""Point"",""coordinates"":[18.916666034991312,-33.94999906275978]}"
"23","0000000000000000066c",900,-33.95,18.916667,0.7,"{""type"":""Point"",""coordinates"":[18.916666034991312,-33.94999906275978]}"
"24","0000000000000000066d",901,-33.95,18.916667,0.2,"{""type"":""Point"",""coordinates"":[18.916666034991312,-33.94999906275978]}"
"25","0000000000000000066e",902,-33.95,18.916667,0.6,"{""type"":""Point"",""coordinates"":[18.916666034991312,-33.94999906275978]}"
"26","0000000000000000066f",903,-33.95,18.916667,3.3,"{""type"":""Point"",""coordinates"":[18.916666034991312,-33.94999906275978]}"
"27","00000000000000000670",904,-33.95,18.916667,0.8,"{""type"":""Point"",""coordinates"":[18.916666034991312,-33.94999906275978]}"
"28","00000000000000000671",905,-33.95,18.916667,9.4,"{""type"":""Point"",""coordinates"":[18.916666034991312,-33.94999906275978]}"
"29","00000000000000000672",906,-33.95,18.916667,4.2,"{""type"":""Point"",""coordinates"":[18.916666034991312,-33.94999906275978]}"
"30","00000000000000000673",907,-33.95,18.916667,2.4,"{""type"":""Point"",""coordinates"":[18.916666034991312,-33.94999906275978]}"
"31","00000000000000000674",908,-33.95,18.916667,0.6,"{""type"":""Point"",""coordinates"":[18.916666034991312,-33.94999906275978]}"
"32","00000000000000000669",897,-33.95,18.916667,0.3,"{""type"":""Point"",""coordinates"":[18.916666034991312,-33.94999906275978]}"
"33","0000000000000000066b",899,-33.95,18.916667,0.3,"{""type"":""Point"",""coordinates"":[18.916666034991312,-33.94999906275978]}"
"34","00000000000000000675",909,-33.95,18.916667,0.1,"{""type"":""Point"",""coordinates"":[18.916666034991312,-33.94999906275978]}"
"35","00000000000000000676",910,-33.95,18.916667,0.1,"{""type"":""Point"",""coordinates"":[18.916666034991312,-33.94999906275978]}"
"36","00000000000000000677",911,-33.95,18.916667,0.1,"{""type"":""Point"",""coordinates"":[18.916666034991312,-33.94999906275978]}"
"37","000000000000000002ea",2,43.64,3.86,0.061705989,"{""type"":""Point"",""coordinates"":[3.8599985314101573,43.64000021638616]}"
"38","000000000000000002eb",3,43.64,3.86,0.061705989,"{""type"":""Point"",""coordinates"":[3.8599985314101573,43.64000021638616]}"
"39","000000000000000002ec",4,43.64,3.86,0.079825835,"{""type"":""Point"",""coordinates"":[3.8599985314101573,43.64000021638616]}"
"40","000000000000000002ed",5,43.64,3.86,0.08056872,"{""type"":""Point"",""coordinates"":[3.8599985314101573,43.64000021638616]}"
"41","000000000000000002ee",6,43.64,3.86,0.08056872,"{""type"":""Point"",""coordinates"":[3.8599985314101573,43.64000021638616]}"
"42","000000000000000002ef",7,43.64,3.86,0.083333333,"{""type"":""Point"",""coordinates"":[3.8599985314101573,43.64000021638616]}"
"43","000000000000000002f0",8,43.64,3.86,0.083333333,"{""type"":""Point"",""coordinates"":[3.8599985314101573,43.64000021638616]}"
"44","000000000000000002f1",9,43.64,3.86,0.087751371,"{""type"":""Point"",""coordinates"":[3.8599985314101573,43.64000021638616]}"
"45","000000000000000002f2",10,43.64,3.86,0.087751371,"{""type"":""Point"",""coordinates"":[3.8599985314101573,43.64000021638616]}"
"46","000000000000000002f3",11,43.64,3.86,0.088534107,"{""type"":""Point"",""coordinates"":[3.8599985314101573,43.64000021638616]}"
"47","000000000000000002f4",12,43.64,3.86,0.088996764,"{""type"":""Point"",""coordinates"":[3.8599985314101573,43.64000021638616]}"
"48","000000000000000002f5",13,43.64,3.86,0.098705502,"{""type"":""Point"",""coordinates"":[3.8599985314101573,43.64000021638616]}"
"49","00000000000000000302",26,43.64,3.86,0.105450237,"{""type"":""Point"",""coordinates"":[3.8599985314101573,43.64000021638616]}"
"50","00000000000000000303",27,43.64,3.86,0.138625592,"{""type"":""Point"",""coordinates"":[3.8599985314101573,43.64000021638616]}"
"51","00000000000000000304",28,43.64,3.86,0.142011834,"{""type"":""Point"",""coordinates"":[3.8599985314101573,43.64000021638616]}"
"52","00000000000000000305",29,43.64,3.86,0.163755459,"{""type"":""Point"",""coordinates"":[3.8599985314101573,43.64000021638616]}"
"53","00000000000000000307",31,43.64,3.86,0.169811321,"{""type"":""Point"",""coordinates"":[3.8599985314101573,43.64000021638616]}"
"54","00000000000000000308",32,43.64,3.86,0.179039301,"{""type"":""Point"",""coordinates"":[3.8599985314101573,43.64000021638616]}"
"55","00000000000000000309",33,43.64,3.86,0.192488263,"{""type"":""Point"",""coordinates"":[3.8599985314101573,43.64000021638616]}"
"56","00000000000000000312",42,43.64,3.86,0.225352113,"{""type"":""Point"",""coordinates"":[3.8599985314101573,43.64000021638616]}"
"57","00000000000000000313",43,43.64,3.86,0.284023669,"{""type"":""Point"",""coordinates"":[3.8599985314101573,43.64000021638616]}"
"58","00000000000000000324",60,43.64,3.86,0.309143687,"{""type"":""Point"",""coordinates"":[3.8599985314101573,43.64000021638616]}"
"59","00000000000000000325",61,43.64,3.86,0.322206096,"{""type"":""Point"",""coordinates"":[3.8599985314101573,43.64000021638616]}"
"60","00000000000000000326",62,43.64,3.86,0.329694323,"{""type"":""Point"",""coordinates"":[3.8599985314101573,43.64000021638616]}"
"61","00000000000000000327",63,43.64,3.86,0.399676375,"{""type"":""Point"",""coordinates"":[3.8599985314101573,43.64000021638616]}"
"62","00000000000000000332",74,43.64,3.86,0.42670537,"{""type"":""Point"",""coordinates"":[3.8599985314101573,43.64000021638616]}"
"63","00000000000000000333",75,43.64,3.86,0.465065502,"{""type"":""Point"",""coordinates"":[3.8599985314101573,43.64000021638616]}"
"64","00000000000000000334",76,43.64,3.86,0.48381877,"{""type"":""Point"",""coordinates"":[3.8599985314101573,43.64000021638616]}"
"65","00000000000000000335",77,43.64,3.86,0.488151659,"{""type"":""Point"",""coordinates"":[3.8599985314101573,43.64000021638616]}"
