"","system.index","index","latitude","longitude","ratio",".geo"
"1","00000000000000000447",351,36.52,109.2,2.8035,"{""type"":""Point"",""coordinates"":[109.20000034118999,36.52000195491331]}"
"2","00000000000000000448",352,36.52,109.2,7.6645,"{""type"":""Point"",""coordinates"":[109.20000034118999,36.52000195491331]}"
"3","0000000000000000043c",340,31.51041667,109.0938833,3.23,"{""type"":""Point"",""coordinates"":[109.09388265432007,31.510415958217433]}"
"4","000000000000000007c7",1247,35.2166667,109.85,2.8793,"{""type"":""Point"",""coordinates"":[109.84999904264976,35.21666468530478]}"
"5","000000000000000007c8",1248,35.2166667,109.85,1.8258,"{""type"":""Point"",""coordinates"":[109.84999904264976,35.21666468530478]}"
"6","000000000000000007c9",1249,35.2166667,109.85,5.7764,"{""type"":""Point"",""coordinates"":[109.84999904264976,35.21666468530478]}"
"7","000000000000000007ca",1250,35.2166667,109.85,8.2469,"{""type"":""Point"",""coordinates"":[109.84999904264976,35.21666468530478]}"
"8","000000000000000007cb",1251,35.2166667,109.85,5.9317,"{""type"":""Point"",""coordinates"":[109.84999904264976,35.21666468530478]}"
"9","000000000000000007cc",1252,35.2166667,109.85,3.5372,"{""type"":""Point"",""coordinates"":[109.84999904264976,35.21666468530478]}"
"10","000000000000000001a8",2148,42.76565266,44.33558588,2.206896552,"{""type"":""Point"",""coordinates"":[44.33558430791529,42.76565076362439]}"
"11","000000000000000002e8",2468,42.71222222,1.704722222,7.806,"{""type"":""Point"",""coordinates"":[1.704723250934466,42.71222181480201]}"
"12","0000000000000000029c",2392,41.63118259,47.51510698,10.6,"{""type"":""Point"",""coordinates"":[47.5151061821654,41.63118411001091]}"
"13","000000000000000008c4",1500,53.98562471,-2.628417566,4.802115351,"{""type"":""Point"",""coordinates"":[-2.6284171159536727,53.9856229979007]}"
"14","000000000000000008c5",1501,53.98562471,-2.628417566,6.645050577,"{""type"":""Point"",""coordinates"":[-2.6284171159536727,53.9856229979007]}"
"15","0000000000000000043b",339,31.55926667,109.01805,1.86,"{""type"":""Point"",""coordinates"":[109.01805118180519,31.559265410257947]}"
"16","00000000000000000298",2388,43.37669316,43.19313514,10.6,"{""type"":""Point"",""coordinates"":[43.193135863416146,43.376694758281246]}"
"17","00000000000000000438",336,31.42686667,109.2070333,1.67,"{""type"":""Point"",""coordinates"":[109.20703234355126,31.42686578177903]}"
"18","0000000000000000042f",327,36.03333333,110.25,12.07,"{""type"":""Point"",""coordinates"":[110.24999824354803,36.03333120683917]}"
"19","000000000000000001aa",2150,42.65524909,45.48708666,2.206896552,"{""type"":""Point"",""coordinates"":[45.48708472755294,42.65524788064212]}"
"20","000000000000000003ec",260,38.78333333,113.5833333,3.701465037,"{""type"":""Point"",""coordinates"":[113.58333234953575,38.783334631217166]}"
"21","000000000000000003f7",271,38.78333333,113.5833333,6.1518157,"{""type"":""Point"",""coordinates"":[113.58333234953575,38.783334631217166]}"
"22","00000000000000000879",1425,42.859663,-70.825635,1.487341772,"{""type"":""Point"",""coordinates"":[-70.82563662219067,42.85966199113419]}"
"23","00000000000000000430",328,39.26666667,113.85,3.054899646,"{""type"":""Point"",""coordinates"":[113.84999996983494,39.266665512602266]}"
"24","000000000000000002d4",2448,51.67,36.5,2.52987013,"{""type"":""Point"",""coordinates"":[36.499998427587556,51.66999844354311]}"
"25","00000000000000000883",1435,45.08333333,-66.43333333,26.7037037,"{""type"":""Point"",""coordinates"":[-66.43333290252542,45.083335422668675]}"
"26","00000000000000000884",1436,45.08333333,-66.43333333,15.44444444,"{""type"":""Point"",""coordinates"":[-66.43333290252542,45.083335422668675]}"
"27","00000000000000000885",1437,45.08333333,-66.43333333,12.2,"{""type"":""Point"",""coordinates"":[-66.43333290252542,45.083335422668675]}"
"28","000000000000000001a7",2147,43.28888236,42.5247723,2.206896552,"{""type"":""Point"",""coordinates"":[42.52477012471724,43.28888168123573]}"
"29","000000000000000001ad",2153,42.47884647,46.28068848,2.206896552,"{""type"":""Point"",""coordinates"":[46.28068877843893,42.4788458429678]}"
"30","00000000000000000439",337,31.44923333,109.1513833,1.89,"{""type"":""Point"",""coordinates"":[109.15138276240428,31.449232632663108]}"
"31","00000000000000000871",1417,51.603827,3.808394,21.72413793,"{""type"":""Point"",""coordinates"":[3.808393354918627,51.60382538390996]}"
"32","00000000000000000872",1418,51.603827,3.808394,17.24444444,"{""type"":""Point"",""coordinates"":[3.808393354918627,51.60382538390996]}"
"33","00000000000000000873",1419,51.603827,3.808394,15.51162791,"{""type"":""Point"",""coordinates"":[3.808393354918627,51.60382538390996]}"
"34","00000000000000000874",1420,51.603827,3.808394,52.74074074,"{""type"":""Point"",""coordinates"":[3.808393354918627,51.60382538390996]}"
"35","000000000000000002c4",2432,45.4,-93.2,2.3137,"{""type"":""Point"",""coordinates"":[-93.20000109155026,45.39999848397915]}"
"36","0000000000000000043e",342,31.56666667,109,2.89,"{""type"":""Point"",""coordinates"":[109.00000074074086,31.566667518006653]}"
"37","0000000000000000025a",2326,49.61947856,135.9786802,4.25,"{""type"":""Point"",""coordinates"":[135.97868134845282,49.61947636501496]}"
"38","0000000000000000029b",2391,42.27171083,46.33075704,10.6,"{""type"":""Point"",""coordinates"":[46.330755565067015,42.271711680833135]}"
"39","00000000000000000297",2387,43.5021811,43.00750498,10.6,"{""type"":""Point"",""coordinates"":[43.00750348656119,43.50218278012732]}"
"40","0000000000000000086c",1412,39.295974,-75.4634,4.213973799,"{""type"":""Point"",""coordinates"":[-75.46340047754497,39.29597518382656]}"
"41","0000000000000000086d",1413,39.295974,-75.4634,10.44117647,"{""type"":""Point"",""coordinates"":[-75.46340047754497,39.29597518382656]}"
"42","0000000000000000086e",1414,39.295974,-75.4634,6.24,"{""type"":""Point"",""coordinates"":[-75.46340047754497,39.29597518382656]}"
"43","00000000000000000858",1392,51.69388889,0.938888889,1.886131387,"{""type"":""Point"",""coordinates"":[0.9388904814093504,51.693890306987456]}"
"44","00000000000000000859",1393,51.69388889,0.938888889,1.150799695,"{""type"":""Point"",""coordinates"":[0.9388904814093504,51.693890306987456]}"
"45","0000000000000000085a",1394,51.69388889,0.938888889,2.232323232,"{""type"":""Point"",""coordinates"":[0.9388904814093504,51.693890306987456]}"
"46","0000000000000000085b",1395,51.69388889,0.938888889,1.386230059,"{""type"":""Point"",""coordinates"":[0.9388904814093504,51.693890306987456]}"
"47","0000000000000000042d",325,36.68333333,109.2166667,5.59,"{""type"":""Point"",""coordinates"":[109.21666846092778,36.683334367399986]}"
"48","0000000000000000043d",341,31.63665,108.9427333,3.81,"{""type"":""Point"",""coordinates"":[108.94273250591144,31.636648649939435]}"
"49","00000000000000000527",575,43.48,117.17,5.607521186,"{""type"":""Point"",""coordinates"":[117.17000136367284,43.47999875238642]}"
"50","000000000000000006ed",1029,43.48,117.17,5.6,"{""type"":""Point"",""coordinates"":[117.17000136367284,43.47999875238642]}"
"51","000000000000000001ac",2152,42.25183807,45.75191558,2.206896552,"{""type"":""Point"",""coordinates"":[45.75191519821816,42.25183746743792]}"
"52","00000000000000000306",30,40.989103,-75.080694,0.164200477,"{""type"":""Point"",""coordinates"":[-75.08069367053193,40.989104772022074]}"
"53","0000000000000000043f",343,31.58333333,109,4.188,"{""type"":""Point"",""coordinates"":[109.00000074074086,31.583331178643384]}"
"54","000000000000000001ab",2151,42.4259969,45.82185675,2.206896552,"{""type"":""Point"",""coordinates"":[45.82185619824145,42.425996577282376]}"
"55","000000000000000003f0",264,46.31666667,132.1833333,4.519530778,"{""type"":""Point"",""coordinates"":[132.18333532321657,46.31666480573812]}"
"56","000000000000000007bd",1237,46.316667,132.18333,4.5195,"{""type"":""Point"",""coordinates"":[132.1833308641155,46.31666480573813]}"
"57","000000000000000008ed",1541,36.00828,-79.020423,0.743787542,"{""type"":""Point"",""coordinates"":[-79.0204209287777,36.00827997712092]}"
"58","000000000000000008ee",1542,36.00828,-79.020423,0.721753457,"{""type"":""Point"",""coordinates"":[-79.0204209287777,36.00827997712092]}"
"59","000000000000000008ef",1543,36.00828,-79.020423,1.486122631,"{""type"":""Point"",""coordinates"":[-79.0204209287777,36.00827997712092]}"
"60","0000000000000000043a",338,31.54173333,109.0692333,2.69,"{""type"":""Point"",""coordinates"":[109.06923274369665,31.541732224915787]}"
"61","000000000000000001ae",2154,41.9135012,46.99561777,2.206896552,"{""type"":""Point"",""coordinates"":[46.99561645033789,41.913503175007726]}"
"62","000000000000000008bb",1491,36.871944,-86.70167,0.266831271,"{""type"":""Point"",""coordinates"":[-86.70166840344356,36.87194542375864]}"
"63","000000000000000008bc",1492,36.871944,-86.70167,0.184744199,"{""type"":""Point"",""coordinates"":[-86.70166840344356,36.87194542375864]}"
"64","000000000000000008bd",1493,36.871944,-86.70167,0.402982643,"{""type"":""Point"",""coordinates"":[-86.70166840344356,36.87194542375864]}"
"65","000000000000000008b5",1485,47.113187,8.541821,0.21475913,"{""type"":""Point"",""coordinates"":[8.541822764273551,47.113185108713054]}"
"66","000000000000000008b6",1486,47.113187,8.541821,0.276532298,"{""type"":""Point"",""coordinates"":[8.541822764273551,47.113185108713054]}"
"67","000000000000000008b7",1487,47.113187,8.541821,0.086330457,"{""type"":""Point"",""coordinates"":[8.541822764273551,47.113185108713054]}"
"68","00000000000000000296",2386,43.58471226,42.17054988,10.6,"{""type"":""Point"",""coordinates"":[42.17054805523361,43.58471182242449]}"
"69","000000000000000001a9",2149,42.80279936,45.05906984,2.206896552,"{""type"":""Point"",""coordinates"":[45.059068994735846,42.80279953450065]}"
"70","00000000000000000868",1408,31.20925,-91.572192,2.601351351,"{""type"":""Point"",""coordinates"":[-91.57219287468666,31.2092482730677]}"
"71","00000000000000000446",350,35.36,109.5,4.6995,"{""type"":""Point"",""coordinates"":[109.49999974186373,35.35999802956673]}"
"72","00000000000000000440",344,30.91666667,110.525,1.834862385,"{""type"":""Point"",""coordinates"":[110.52499992371617,30.916668816546906]}"
"73","000000000000000007b5",1229,52.53333,6.6,1.8621,"{""type"":""Point"",""coordinates"":[6.600000192125262,52.5333294576018]}"
"74","000000000000000007b6",1230,52.53333,6.6,2.0446,"{""type"":""Point"",""coordinates"":[6.600000192125262,52.5333294576018]}"
"75","000000000000000007b7",1231,52.53333,6.6,1.9328,"{""type"":""Point"",""coordinates"":[6.600000192125262,52.5333294576018]}"
"76","000000000000000007b8",1232,52.53333,6.6,1.64655,"{""type"":""Point"",""coordinates"":[6.600000192125262,52.5333294576018]}"
"77","000000000000000007b9",1233,52.53333,6.6,3.741444,"{""type"":""Point"",""coordinates"":[6.600000192125262,52.5333294576018]}"
"78","000000000000000007ba",1234,52.53333,6.6,3.62205,"{""type"":""Point"",""coordinates"":[6.600000192125262,52.5333294576018]}"
"79","000000000000000007bb",1235,52.53333,6.6,2.4733,"{""type"":""Point"",""coordinates"":[6.600000192125262,52.5333294576018]}"
"80","000000000000000007bc",1236,52.53333,6.6,2.9417,"{""type"":""Point"",""coordinates"":[6.600000192125262,52.5333294576018]}"
"81","000000000000000003e4",252,35.6,109.85,1.82578916,"{""type"":""Point"",""coordinates"":[109.84999904264976,35.60000022556636]}"
"82","000000000000000003e9",257,35.6,109.85,2.879298246,"{""type"":""Point"",""coordinates"":[109.84999904264976,35.60000022556636]}"
"83","000000000000000003eb",259,35.6,109.85,3.537227478,"{""type"":""Point"",""coordinates"":[109.84999904264976,35.60000022556636]}"
"84","000000000000000003f4",268,35.6,109.85,5.776447303,"{""type"":""Point"",""coordinates"":[109.84999904264976,35.60000022556636]}"
"85","000000000000000003f6",270,35.6,109.85,5.93165314,"{""type"":""Point"",""coordinates"":[109.84999904264976,35.60000022556636]}"
"86","00000000000000000405",285,35.6,109.85,8.246897163,"{""type"":""Point"",""coordinates"":[109.84999904264976,35.60000022556636]}"
"87","0000000000000000025e",2330,44.98046448,131.5866659,4.25,"{""type"":""Point"",""coordinates"":[131.58666747035602,44.9804639613657]}"
"88","000000000000000008de",1526,38.135833,-84.500556,0.702326123,"{""type"":""Point"",""coordinates"":[-84.5005580232395,38.13583302634734]}"
"89","000000000000000008df",1527,38.135833,-84.500556,2.392566101,"{""type"":""Point"",""coordinates"":[-84.5005580232395,38.13583302634734]}"
"90","000000000000000008e0",1528,38.135833,-84.500556,14.46920385,"{""type"":""Point"",""coordinates"":[-84.5005580232395,38.13583302634734]}"
"91","000000000000000008a9",1473,45.401,-93.201,1.66640735,"{""type"":""Point"",""coordinates"":[-93.20099993018623,45.40100178171617]}"
"92","000000000000000008aa",1474,45.401,-93.201,1.349568523,"{""type"":""Point"",""coordinates"":[-93.20099993018623,45.40100178171617]}"
"93","000000000000000008ab",1475,45.401,-93.201,0.207991712,"{""type"":""Point"",""coordinates"":[-93.20099993018623,45.40100178171617]}"
"94","00000000000000000259",2325,49.81259277,136.6744259,4.25,"{""type"":""Point"",""coordinates"":[136.6744259676199,49.81259111343759]}"
"95","000000000000000003e2",250,42.4,128.1,1.527,"{""type"":""Point"",""coordinates"":[128.09999825644354,42.40000001814077]}"
"96","000000000000000002e9",1,40.764837,-74.531713,0.020624546,"{""type"":""Point"",""coordinates"":[-74.53171144433693,40.76483874364006]}"
"97","0000000000000000020e",2250,55.04103409,50.07257731,3.125,"{""type"":""Point"",""coordinates"":[50.07257900035875,55.041034248937635]}"
"98","00000000000000000214",2256,55.81351502,58.35016874,3.125,"{""type"":""Point"",""coordinates"":[58.350168813508255,55.813515538133444]}"
"99","00000000000000000200",2236,54.37263537,38.31081331,3.125,"{""type"":""Point"",""coordinates"":[38.31081261078561,54.37263729653137]}"
"100","00000000000000000211",2253,57.19067991,56.99137079,3.125,"{""type"":""Point"",""coordinates"":[56.99136924499696,57.190677684782834]}"
"101","00000000000000000203",2239,54.21616704,41.86464444,3.125,"{""type"":""Point"",""coordinates"":[41.86464480476512,54.216167440565954]}"
"102","00000000000000000208",2244,54.76084061,46.34327222,3.125,"{""type"":""Point"",""coordinates"":[46.34327226172404,54.76084217514332]}"
"103","00000000000000000212",2254,55.78065936,52.32729724,3.125,"{""type"":""Point"",""coordinates"":[52.32729669342733,55.780660881571656]}"
"104","00000000000000000213",2255,53.08387006,48.13490343,3.125,"{""type"":""Point"",""coordinates"":[48.13490339219017,53.08386791006444]}"
