"","system.index","index","latitude","longitude","ratio",".geo"
"1","000000000000000003dc",244,24.54805556,101.0280556,0.76,"{""type"":""Point"",""coordinates"":[101.02805555019874,24.548055837186002]}"
"2","0000000000000000085f",1399,11.21666667,76.65,0.03557532,"{""type"":""Point"",""coordinates"":[76.64999848157429,11.216668040395703]}"
"3","00000000000000000860",1400,11.21666667,76.65,0.120303126,"{""type"":""Point"",""coordinates"":[76.64999848157429,11.216668040395703]}"
"4","00000000000000000861",1401,11.21666667,76.65,0.341488277,"{""type"":""Point"",""coordinates"":[76.64999848157429,11.216668040395703]}"
"5","00000000000000000862",1402,11.21666667,76.65,0.098006645,"{""type"":""Point"",""coordinates"":[76.64999848157429,11.216668040395703]}"
"6","000000000000000002d6",2450,6.22,-5.03,4.196428571,"{""type"":""Point"",""coordinates"":[-5.029999761318555,6.220000059451656]}"
"7","00000000000000000682",922,6.216667,-5.03333,1.1081,"{""type"":""Point"",""coordinates"":[-5.033330709805478,6.21666911096473]}"
"8","000000000000000007b1",1225,25.25,91.75,1.7098,"{""type"":""Point"",""coordinates"":[91.74999952919283,25.249998606817346]}"
"9","000000000000000007b2",1226,25.25,91.75,2.3476,"{""type"":""Point"",""coordinates"":[91.74999952919283,25.249998606817346]}"
"10","000000000000000007b3",1227,25.25,91.75,2.6106,"{""type"":""Point"",""coordinates"":[91.74999952919283,25.249998606817346]}"
"11","000000000000000007b4",1228,25.25,91.75,1.8237,"{""type"":""Point"",""coordinates"":[91.74999952919283,25.249998606817346]}"
"12","000000000000000002d3",2447,6.33,100.93,2.451111111,"{""type"":""Point"",""coordinates"":[100.92999991803345,6.330001623339113]}"
"13","000000000000000007ab",1219,8.811573,-70.766417,1,"{""type"":""Point"",""coordinates"":[-70.76641530109985,8.811571623400708]}"
"14","000000000000000007ac",1220,8.811573,-70.766417,1.4,"{""type"":""Point"",""coordinates"":[-70.76641530109985,8.811571623400708]}"
"15","000000000000000007ad",1221,8.811573,-70.766417,0.7,"{""type"":""Point"",""coordinates"":[-70.76641530109985,8.811571623400708]}"
