"","system.index","index","latitude","longitude","ratio",".geo"
"1","0000000000000000063f",394,56.5068326,115.8838725,2.008403361,"{""type"":""Point"",""coordinates"":[115.88387176502951,56.506834406327414]}"
"2","00000000000000000698",483,61.24475677,72.66390776,0.421965318,"{""type"":""Point"",""coordinates"":[72.66390994967584,61.244758589544226]}"
"3","00000000000000000638",387,58.72095731,106.9230289,2.008403361,"{""type"":""Point"",""coordinates"":[106.92302727476368,58.72095644340544]}"
"4","0000000000000000067c",455,53.91112178,58.07459427,0.268382353,"{""type"":""Point"",""coordinates"":[58.074596368405295,53.91112033749974]}"
"5","0000000000000000069f",490,68.34168008,145.6555459,0.486166008,"{""type"":""Point"",""coordinates"":[145.65554599037574,68.3416810030655]}"
"6","00000000000000000628",371,63.14597988,107.016321,2.008403361,"{""type"":""Point"",""coordinates"":[107.01632058700386,63.14598104660088]}"
"7","000000000000000006a7",498,56.54344077,116.0655619,3.685185185,"{""type"":""Point"",""coordinates"":[116.06556229655325,56.54343916687516]}"
"8","00000000000000000647",402,54.42649089,113.5132615,2.008403361,"{""type"":""Point"",""coordinates"":[113.51326203558187,54.42648985995385]}"
"9","00000000000000000699",484,63.67144539,87.17279995,0.421965318,"{""type"":""Point"",""coordinates"":[87.17279918434645,63.67144597384]}"
"10","000000000000000006a3",494,57.79368517,70.96312064,0.807228916,"{""type"":""Point"",""coordinates"":[70.9631196258705,57.79368637934137]}"
"11","00000000000000000696",481,60.43901955,56.49979773,0.421965318,"{""type"":""Point"",""coordinates"":[56.499797944865094,60.439021324691815]}"
"12","00000000000000000637",386,60.20504283,106.8631488,2.008403361,"{""type"":""Point"",""coordinates"":[106.86315046581801,60.205043374215414]}"
"13","0000000000000000069b",486,57.49625973,88.35767007,0.421965318,"{""type"":""Point"",""coordinates"":[88.35767151626808,57.496259879975476]}"
"14","00000000000000000687",466,59.28244637,31.77725416,1.094339623,"{""type"":""Point"",""coordinates"":[31.777253024356693,59.28244644805534]}"
"15","00000000000000000692",477,61.64291072,54.39084348,0.421965318,"{""type"":""Point"",""coordinates"":[54.390843806132594,61.64291172260641]}"
"16","0000000000000000063a",389,58.39227015,105.7929765,2.008403361,"{""type"":""Point"",""coordinates"":[105.7929751311931,58.392271645654894]}"
"17","0000000000000000063d",392,55.34096914,123.041375,2.008403361,"{""type"":""Point"",""coordinates"":[123.0413755254629,55.340971222196615]}"
"18","00000000000000000697",482,65.28899152,81.73058387,0.421965318,"{""type"":""Point"",""coordinates"":[81.73058228524313,65.28898934007856]}"
"19","00000000000000000632",381,59.77500584,124.8481338,2.008403361,"{""type"":""Point"",""coordinates"":[124.84813192670232,59.775007668621086]}"
"20","00000000000000000641",396,55.42299636,113.7238345,2.008403361,"{""type"":""Point"",""coordinates"":[113.72383416462876,55.42299638607477]}"
"21","00000000000000000657",418,51.88869932,117.3313464,2.008403361,"{""type"":""Point"",""coordinates"":[117.33134501708963,51.88869951381039]}"
"22","0000000000000000062e",377,61.84372748,117.8822363,2.008403361,"{""type"":""Point"",""coordinates"":[117.88223573853548,61.84372733854833]}"
"23","0000000000000000069e",489,67.69488282,155.7639672,0.486166008,"{""type"":""Point"",""coordinates"":[155.76396689135225,67.69488393616211]}"
"24","00000000000000000688",467,58.478854,31.1113825,1.094339623,"{""type"":""Point"",""coordinates"":[31.111384382247724,58.47885401080965]}"
"25","0000000000000000068f",474,62.11770754,49.54352952,0.421965318,"{""type"":""Point"",""coordinates"":[49.54352895587266,62.11770788457522]}"
"26","00000000000000000631",380,60.15861383,124.8530318,2.008403361,"{""type"":""Point"",""coordinates"":[124.85303247876004,60.15861521404693]}"
"27","00000000000000000626",369,63.57608977,108.7649006,2.008403361,"{""type"":""Point"",""coordinates"":[108.76489909679896,63.57608809781206]}"
"28","0000000000000000062c",375,61.38211626,120.6046691,2.008403361,"{""type"":""Point"",""coordinates"":[120.60466854110005,61.382116738394565]}"
"29","00000000000000000621",364,64.54016136,120.472284,2.008403361,"{""type"":""Point"",""coordinates"":[120.47228228992425,64.54016358197127]}"
"30","0000000000000000063e",393,55.63540593,122.2143568,2.008403361,"{""type"":""Point"",""coordinates"":[122.21435497128242,55.63540566475565]}"
"31","0000000000000000063c",391,55.35894133,125.5160164,2.008403361,"{""type"":""Point"",""coordinates"":[125.51601608248743,55.35894139944201]}"
"32","00000000000000000691",476,61.89008595,51.47950101,0.421965318,"{""type"":""Point"",""coordinates"":[51.47950118743883,61.89008415309996]}"
"33","0000000000000000062d",376,62.15840105,112.7290554,2.008403361,"{""type"":""Point"",""coordinates"":[112.72905331061553,62.15840164078896]}"
"34","0000000000000000064f",410,52.03259382,119.4624688,2.008403361,"{""type"":""Point"",""coordinates"":[119.46246980625986,52.03259470480509]}"
"35","00000000000000000622",365,64.04113982,107.4083096,2.008403361,"{""type"":""Point"",""coordinates"":[107.40831124241019,64.04114112397909]}"
"36","00000000000000000623",366,61.8094425,125.4316324,2.008403361,"{""type"":""Point"",""coordinates"":[125.43163205415205,61.809441310548394]}"
"37","0000000000000000068e",473,61.20816719,46.54624446,0.421965318,"{""type"":""Point"",""coordinates"":[46.54624608257584,61.20816720629964]}"
"38","000000000000000006a2",493,60.0081927,69.77598191,0.807228916,"{""type"":""Point"",""coordinates"":[69.77598207061372,60.008191899109974]}"
"39","0000000000000000068c",471,65.94183348,56.89810909,0.421965318,"{""type"":""Point"",""coordinates"":[56.89810714646414,65.9418329480104]}"
"40","0000000000000000062a",373,62.09569205,115.345475,2.008403361,"{""type"":""Point"",""coordinates"":[115.34547544473543,62.095693302674356]}"
"41","000000000000000006a4",495,57.90189083,83.62256956,0.807228916,"{""type"":""Point"",""coordinates"":[83.62256994401811,57.90189092550428]}"
"42","00000000000000000645",400,54.60585023,112.7412552,2.008403361,"{""type"":""Point"",""coordinates"":[112.74125341109774,54.6058482816266]}"
"43","00000000000000000636",385,61.13517417,106.8659877,2.008403361,"{""type"":""Point"",""coordinates"":[106.86598645408799,61.13517618115578]}"
"44","0000000000000000062b",374,62.89503549,109.3859258,2.008403361,"{""type"":""Point"",""coordinates"":[109.38592701871447,62.89503621661611]}"
"45","000000000000000006a0",491,64.82921998,154.1184805,0.486166008,"{""type"":""Point"",""coordinates"":[154.11847833881174,64.82922034865985]}"
"46","0000000000000000068d",472,62.05585992,45.18438297,0.421965318,"{""type"":""Point"",""coordinates"":[45.18438311164083,62.055860152963916]}"
"47","00000000000000000635",384,60.52471822,117.9209022,2.008403361,"{""type"":""Point"",""coordinates"":[117.92090060376992,60.524716328736936]}"
"48","00000000000000000642",397,55.75965665,107.0010847,2.008403361,"{""type"":""Point"",""coordinates"":[107.00108383870423,55.75965851560993]}"
"49","00000000000000000630",379,62.23382408,111.9305854,2.008403361,"{""type"":""Point"",""coordinates"":[111.93058438048021,62.23382287600694]}"
