"","system.index","index","latitude","longitude","ratio",".geo"
"1","00000000000000000654",415,48.04834033,135.6278487,2.008403361,"{""type"":""Point"",""coordinates"":[135.62784819576981,48.04833886343962]}"
"2","0000000000000000064d",408,51.22915477,128.4973892,2.008403361,"{""type"":""Point"",""coordinates"":[128.49738888322557,51.22915387699522]}"
"3","00000000000000000651",412,48.42641099,133.5198572,2.008403361,"{""type"":""Point"",""coordinates"":[133.51985722286486,48.42641266445814]}"
"4","00000000000000000652",413,49.62610886,130.0565522,2.008403361,"{""type"":""Point"",""coordinates"":[130.0565536984724,49.62610704828143]}"
"5","00000000000000000656",417,47.98677519,134.8850225,2.008403361,"{""type"":""Point"",""coordinates"":[134.88502438768046,47.98677651429574]}"
"6","00000000000000000683",462,49.73428898,128.5729889,0.268382353,"{""type"":""Point"",""coordinates"":[128.5729884824857,49.734289298939075]}"
"7","0000000000000000064a",405,51.35176995,128.851689,2.008403361,"{""type"":""Point"",""coordinates"":[128.85169121652817,51.35177023776287]}"
"8","00000000000000000655",416,49.19552097,130.4033936,2.008403361,"{""type"":""Point"",""coordinates"":[130.40339149661153,49.19552287325754]}"
"9","0000000000000000065c",423,46.01691642,134.0564745,2.008403361,"{""type"":""Point"",""coordinates"":[134.05647436183864,46.01691511472338]}"
"10","0000000000000000064e",409,51.10148719,128.4483982,2.008403361,"{""type"":""Point"",""coordinates"":[128.44839673995136,51.101485354734024]}"
"11","00000000000000000682",461,49.39762774,130.1243884,0.268382353,"{""type"":""Point"",""coordinates"":[130.12439000279846,49.397627169403904]}"
"12","00000000000000000653",414,48.22365405,135.1791181,2.008403361,"{""type"":""Point"",""coordinates"":[135.17911993855944,48.2236528804569]}"
"13","00000000000000000684",463,48.11364016,132.0286304,0.268382353,"{""type"":""Point"",""coordinates"":[132.02863127126832,48.11363793926627]}"
