"","system.index","index","latitude","longitude","ratio",".geo"
"1","00000000000000000015",542,41.3,1.816667,1.14388,"{""type"":""Point"",""coordinates"":[1.816668982881225,41.30000221567042]}"
"2","000000000000000005ff",330,41.3,1.816667,1.1439,"{""type"":""Point"",""coordinates"":[1.816668982881225,41.30000221567042]}"
"3","00000000000000000029",562,42.11944,-6.116389,0.22,"{""type"":""Point"",""coordinates"":[-6.116388387373788,42.11943783895901]}"
"4","0000000000000000002a",563,42.11944,-6.116389,0.5502,"{""type"":""Point"",""coordinates"":[-6.116388387373788,42.11943783895901]}"
"5","000000000000000005c3",270,42.119444,-6.116389,0.22,"{""type"":""Point"",""coordinates"":[-6.116388387373786,42.119442298060065]}"
"6","000000000000000005c4",271,42.119444,-6.116389,0.5502,"{""type"":""Point"",""coordinates"":[-6.116388387373786,42.119442298060065]}"
"7","000000000000000001ed",1590,37.1167,-6.2,2.7,"{""type"":""Point"",""coordinates"":[-6.2000009912269505,37.11670102148123]}"
"8","00000000000000000576",193,37.1166667,-6.2,2.7,"{""type"":""Point"",""coordinates"":[-6.2000009912269505,37.11666534867281]}"
"9","000000000000000001de",1575,39.43333333,-0.783333333,3.033783784,"{""type"":""Point"",""coordinates"":[-0.7833347411598909,39.43333333267691]}"
"10","0000000000000000056a",181,39.43333,-0.7833333,3,"{""type"":""Point"",""coordinates"":[-0.7833347411598908,39.43332887357586]}"
"11","00000000000000000016",543,40.6,8.15,0.96935,"{""type"":""Point"",""coordinates"":[8.15000155470726,40.599999154997334]}"
"12","00000000000000000600",331,40.6,8.15,0.9693,"{""type"":""Point"",""coordinates"":[8.15000155470726,40.599999154997334]}"
"13","000000000000000006b4",511,40.823117,17.024848,0.683606557,"{""type"":""Point"",""coordinates"":[17.024847822056362,40.823119194408605]}"
"14","000000000000000001db",1572,39.45,-0.9,4.727272727,"{""type"":""Point"",""coordinates"":[-0.8999982020211954,39.45000145241469]}"
"15","00000000000000000567",178,39.45,-0.9,4.7,"{""type"":""Point"",""coordinates"":[-0.8999982020211954,39.45000145241469]}"
"16","000000000000000006b5",512,40.71752,17.574867,0.683606557,"{""type"":""Point"",""coordinates"":[17.574869018796804,40.7175187632609]}"
"17","000000000000000001e0",1577,39.38333333,-0.85,2.680412371,"{""type"":""Point"",""coordinates"":[-0.8499983019089068,39.383333432564626]}"
"18","0000000000000000056c",183,39.383333,-0.85,2.7,"{""type"":""Point"",""coordinates"":[-0.8499983019089068,39.383333432564626]}"
"19","000000000000000001dd",1574,39.41666667,-1,2.619402985,"{""type"":""Point"",""coordinates"":[-0.9999980022457726,39.41666521293914]}"
"20","00000000000000000569",180,39.416667,-1,2.6,"{""type"":""Point"",""coordinates"":[-0.9999980022457726,39.41666521293914]}"
"21","0000000000000000056d",184,39.583333,-1.16667,2.6,"{""type"":""Point"",""coordinates"":[-1.1666702814214729,39.58333303301378]}"
"22","000000000000000001e1",1578,39.4,-0.75,2.61414791,"{""type"":""Point"",""coordinates"":[-0.7499985016843295,39.400001552302406]}"
"23","0000000000000000056e",185,39.4,-0.75,3.5,"{""type"":""Point"",""coordinates"":[-0.7499985016843295,39.400001552302406]}"
"24","000000000000000001fa",1603,38.38333333,-1.166666667,0.57,"{""type"":""Point"",""coordinates"":[-1.166665822320419,38.38333543031885]}"
"25","000000000000000001fb",1604,38.38333333,-1.166666667,0.64,"{""type"":""Point"",""coordinates"":[-1.166665822320419,38.38333543031885]}"
"26","00000000000000000260",1705,38.38333333,-1.166666667,10.851,"{""type"":""Point"",""coordinates"":[-1.166665822320419,38.38333543031885]}"
"27","00000000000000000261",1706,38.38333333,-1.166666667,10.648,"{""type"":""Point"",""coordinates"":[-1.166665822320419,38.38333543031885]}"
"28","00000000000000000262",1707,38.38333333,-1.166666667,10.715,"{""type"":""Point"",""coordinates"":[-1.166665822320419,38.38333543031885]}"
"29","00000000000000000263",1708,38.38333333,-1.166666667,3.288,"{""type"":""Point"",""coordinates"":[-1.166665822320419,38.38333543031885]}"
"30","00000000000000000264",1709,37.579438,-0.874453,0.529411765,"{""type"":""Point"",""coordinates"":[-0.8744520120860039,37.579439774201525]}"
