"","system.index","index","latitude","longitude","ratio",".geo"
"1","00000000000000000667",434,56.36954495,42.15040726,0.268382353,"{""type"":""Point"",""coordinates"":[42.1504062957752,56.36954314399288]}"
"2","00000000000000000659",420,48.12292529,131.4380218,2.008403361,"{""type"":""Point"",""coordinates"":[131.4380233367394,48.122926246760606]}"
"3","00000000000000000664",431,55.2621213,21.40370739,0.268382353,"{""type"":""Point"",""coordinates"":[21.403707352045483,55.262120938268545]}"
"4","00000000000000000014",541,46.883333,19.383333,1.078,"{""type"":""Point"",""coordinates"":[19.383333255739693,46.88333182671108]}"
"5","000000000000000005fe",329,46.883333,19.38333,1.078,"{""type"":""Point"",""coordinates"":[19.383328796638637,46.88333182671108]}"
"6","00000000000000000686",465,45.98585499,134.580837,0.268382353,"{""type"":""Point"",""coordinates"":[134.58083789111754,45.98585301678508]}"
"7","00000000000000000676",449,54.9219656,55.92488073,0.268382353,"{""type"":""Point"",""coordinates"":[55.924881586943265,54.92196733260853]}"
"8","00000000000000000681",460,49.63247499,130.8263173,0.268382353,"{""type"":""Point"",""coordinates"":[130.82631939512666,49.63247464458574]}"
"9","0000000000000000067b",454,53.33251146,55.96940378,0.268382353,"{""type"":""Point"",""coordinates"":[55.969405710961915,53.33251184390564]}"
"10","00000000000000000024",557,38.68333333,112,0.505,"{""type"":""Point"",""coordinates"":[111.99999920657923,38.683334830992585]}"
"11","00000000000000000537",130,38.68333333,112,0.505,"{""type"":""Point"",""coordinates"":[111.99999920657923,38.683334830992585]}"
"12","00000000000000000674",447,56.26033392,54.16151474,0.268382353,"{""type"":""Point"",""coordinates"":[54.16151669805493,56.26033530009293]}"
"13","00000000000000000680",459,50.97781051,129.1064932,0.268382353,"{""type"":""Point"",""coordinates"":[129.10649316892417,50.97781218701669]}"
"14","00000000000000000685",464,46.68380944,135.0384506,0.268382353,"{""type"":""Point"",""coordinates"":[135.03844867762638,46.68380935007464]}"
"15","00000000000000000671",444,52.3261744,42.40683802,0.268382353,"{""type"":""Point"",""coordinates"":[42.40683582005571,52.32617299996187]}"
"16","0000000000000000065a",421,46.82494301,134.0726906,2.008403361,"{""type"":""Point"",""coordinates"":[134.07269211237,46.82494435751726]}"
"17","00000000000000000665",432,55.17440008,21.62640917,0.268382353,"{""type"":""Point"",""coordinates"":[21.62640823595773,55.174401502345155]}"
"18","0000000000000000065b",422,46.60050801,134.3100536,2.008403361,"{""type"":""Point"",""coordinates"":[134.310054520546,46.60050888329523]}"
"19","00000000000000000011",538,53.05,-3.466667,0.88548,"{""type"":""Point"",""coordinates"":[-3.46666568658675,53.050001037563526]}"
"20","000000000000000005fb",326,53.05,-3.46667,0.88548,"{""type"":""Point"",""coordinates"":[-3.4666701456878033,53.050001037563526]}"
"21","00000000000000000644",399,52.9117662,126.5978429,2.008403361,"{""type"":""Point"",""coordinates"":[126.597843048165,52.911764445805645]}"
"22","0000000000000000066c",439,55.87542351,42.23815782,0.268382353,"{""type"":""Point"",""coordinates"":[42.23815694540597,55.87542569715948]}"
"23","00000000000000000658",419,48.36162582,132.1545331,2.008403361,"{""type"":""Point"",""coordinates"":[132.15453398951237,48.36162638525262]}"
"24","000000000000000006a6",497,56.29297995,70.01945125,3.685185185,"{""type"":""Point"",""coordinates"":[70.01945344723295,56.29298037890521]}"
"25","0000000000000000002d",566,-41.116667,173.75,1.2973,"{""type"":""Point"",""coordinates"":[173.75000070008517,-41.116666275858]}"
"26","00000000000000000013",540,52.4,5.916667,1.2725,"{""type"":""Point"",""coordinates"":[5.916665251189945,52.39999787700272]}"
"27","000000000000000005fd",328,52.4,5.916667,1.2725,"{""type"":""Point"",""coordinates"":[5.916665251189945,52.39999787700272]}"
"28","00000000000000000666",433,52.92763766,33.95920967,0.268382353,"{""type"":""Point"",""coordinates"":[33.9592115655362,52.92763884555591]}"
"29","00000000000000000001",522,36.77638889,109.2416667,0.907692308,"{""type"":""Point"",""coordinates"":[109.24166618143339,36.776386888183296]}"
"30","00000000000000000002",523,36.77638889,109.2416667,0.612314709,"{""type"":""Point"",""coordinates"":[109.24166618143339,36.776386888183296]}"
"31","00000000000000000003",524,36.77638889,109.2416667,0.661686233,"{""type"":""Point"",""coordinates"":[109.24166618143339,36.776386888183296]}"
"32","00000000000000000004",525,36.77638889,109.2416667,2.124223602,"{""type"":""Point"",""coordinates"":[109.24166618143339,36.776386888183296]}"
"33","00000000000000000005",526,36.77638889,109.2416667,2.462099125,"{""type"":""Point"",""coordinates"":[109.24166618143339,36.776386888183296]}"
"34","0000000000000000066d",440,54.834606,42.95617907,0.268382353,"{""type"":""Point"",""coordinates"":[42.95617923343603,54.83460462476942]}"
