"","system.index","index","latitude","longitude","ratio",".geo"
"1","000000000000000001ca",1555,24.517,118.05,1.193285962,"{""type"":""Point"",""coordinates"":[118.05000049746933,24.516998198348755]}"
"2","00000000000000000017",544,24.54805556,101.0280556,0.261,"{""type"":""Point"",""coordinates"":[101.02805555019874,24.548055837186002]}"
"3","000000000000000001c5",1550,24.54805556,101.0280556,0.261246612,"{""type"":""Point"",""coordinates"":[101.02805555019874,24.548055837186002]}"
"4","0000000000000000052a",117,24.54805556,101.0280556,0.261,"{""type"":""Point"",""coordinates"":[101.02805555019874,24.548055837186002]}"
"5","00000000000000000023",556,22.43333333,114.1166667,0.872645064,"{""type"":""Point"",""coordinates"":[114.11666759013416,22.43333162169035]}"
"6","000000000000000001d2",1563,22.43333333,114.1166667,0.872645064,"{""type"":""Point"",""coordinates"":[114.11666759013416,22.43333162169035]}"
"7","00000000000000000536",129,22.43333333,114.1166667,0.872645064,"{""type"":""Point"",""coordinates"":[114.11666759013416,22.43333162169035]}"
"8","00000000000000000311",733,0.916666667,110.7166667,0.188759279,"{""type"":""Point"",""coordinates"":[110.71666546429643,0.9166663217589758]}"
"9","00000000000000000314",736,0.916666667,110.7166667,0.215756783,"{""type"":""Point"",""coordinates"":[110.71666546429643,0.9166663217589758]}"
"10","00000000000000000316",738,0.916666667,110.7166667,0.215455557,"{""type"":""Point"",""coordinates"":[110.71666546429643,0.9166663217589758]}"
"11","00000000000000000317",739,0.916666667,110.7166667,0.143414341,"{""type"":""Point"",""coordinates"":[110.71666546429643,0.9166663217589758]}"
"12","0000000000000000031a",742,0.916666667,110.7166667,0.222983494,"{""type"":""Point"",""coordinates"":[110.71666546429643,0.9166663217589758]}"
"13","0000000000000000001a",547,21.5,109.683,0.467378262,"{""type"":""Point"",""coordinates"":[109.68300124909715,21.500001639294645]}"
"14","000000000000000001c8",1553,21.5,109.683,0.467378262,"{""type"":""Point"",""coordinates"":[109.68300124909715,21.500001639294645]}"
